Start time: 1716924209525
[2024-05-28 15:23:53.185884] Connecting to host 35.245.244.238, port 5202
[2024-05-28 15:23:53.186516] Reverse mode, remote host 35.245.244.238 is sending
[2024-05-28 15:23:53.186561] [  5] local 10.45.167.251 port 54356 connected to 35.245.244.238 port 5202
[2024-05-28 15:23:53.186594] [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[2024-05-28 15:25:06.686752] [  5]  74.00-74.50  sec  13.4 MBytes   225 Mbits/sec  0.073 ms  12276/22318 (55%)  
[2024-05-28 15:25:06.686854] [  5]  74.50-75.00  sec  14.0 MBytes   234 Mbits/sec  0.308 ms  12037/22500 (53%)  
[2024-05-28 15:25:06.686956] [  5]  75.00-75.50  sec  13.5 MBytes   227 Mbits/sec  0.296 ms  11849/21979 (54%)  
[2024-05-28 15:25:06.687060] [  5]  75.50-76.00  sec  14.2 MBytes   238 Mbits/sec  0.021 ms  12230/22858 (54%)  
[2024-05-28 15:25:06.687162] [  5]  76.00-76.50  sec  13.8 MBytes   231 Mbits/sec  0.021 ms  11899/22205 (54%)  
[2024-05-28 15:25:06.687262] [  5]  76.50-77.00  sec  12.5 MBytes   210 Mbits/sec  0.051 ms  12790/22180 (58%)  
[2024-05-28 15:25:06.687474] [  5]  77.00-77.50  sec  12.9 MBytes   216 Mbits/sec  0.035 ms  12626/22261 (57%)  
[2024-05-28 15:25:06.687589] [  5]  77.50-78.00  sec  13.2 MBytes   222 Mbits/sec  0.064 ms  12541/22442 (56%)  
[2024-05-28 15:25:06.687697] [  5]  78.00-78.50  sec  12.7 MBytes   213 Mbits/sec  0.135 ms  12885/22409 (57%)  
[2024-05-28 15:25:06.687798] [  5]  78.50-79.00  sec  12.7 MBytes   213 Mbits/sec  0.066 ms  12305/21829 (56%)  
[2024-05-28 15:25:06.687900] [  5]  79.00-79.50  sec  12.9 MBytes   217 Mbits/sec  0.248 ms  12817/22496 (57%)  
[2024-05-28 15:25:06.687997] [  5]  79.50-80.00  sec  13.0 MBytes   218 Mbits/sec  0.085 ms  12755/22495 (57%)  
[2024-05-28 15:25:06.688097] [  5]  80.00-80.50  sec  12.8 MBytes   215 Mbits/sec  0.198 ms  12366/21974 (56%)  
[2024-05-28 15:25:06.688197] [  5]  80.50-81.00  sec  13.6 MBytes   229 Mbits/sec  0.176 ms  12590/22811 (55%)  
[2024-05-28 15:25:06.688293] [  5]  81.00-81.50  sec  13.7 MBytes   230 Mbits/sec  0.036 ms  11944/22220 (54%)  
[2024-05-28 15:25:06.688391] [  5]  81.50-82.00  sec  11.9 MBytes   200 Mbits/sec  0.037 ms  11535/20470 (56%)  
[2024-05-28 15:25:06.688492] [  5]  82.00-82.50  sec  13.9 MBytes   234 Mbits/sec  0.036 ms  13593/24022 (57%)  
[2024-05-28 15:25:06.688590] [  5]  82.50-83.00  sec  12.8 MBytes   215 Mbits/sec  0.259 ms  12473/22072 (57%)  
[2024-05-28 15:25:06.688687] [  5]  83.00-83.50  sec  13.4 MBytes   225 Mbits/sec  0.049 ms  12537/22574 (56%)  
[2024-05-28 15:25:06.688783] [  5]  83.50-84.00  sec  12.4 MBytes   208 Mbits/sec  0.065 ms  13276/22568 (59%)  
[2024-05-28 15:25:06.688880] [  5]  84.00-84.50  sec  13.2 MBytes   222 Mbits/sec  0.190 ms  12296/22207 (55%)  
[2024-05-28 15:25:06.688979] [  5]  84.50-85.00  sec  13.2 MBytes   221 Mbits/sec  0.034 ms  12515/22369 (56%)  
[2024-05-28 15:25:06.689078] [  5]  85.00-85.50  sec  13.1 MBytes   220 Mbits/sec  0.115 ms  12554/22357 (56%)  
[2024-05-28 15:25:06.689177] [  5]  85.50-86.00  sec  13.7 MBytes   230 Mbits/sec  0.324 ms  12144/22427 (54%)  
[2024-05-28 15:25:06.689273] [  5]  86.00-86.50  sec  13.6 MBytes   227 Mbits/sec  0.042 ms  12049/22203 (54%)  
[2024-05-28 15:25:06.689375] [  5]  86.50-87.00  sec  13.3 MBytes   223 Mbits/sec  0.130 ms  12260/22210 (55%)  
[2024-05-28 15:25:06.689473] [  5]  87.00-87.50  sec  13.0 MBytes   218 Mbits/sec  0.092 ms  12254/22009 (56%)  
[2024-05-28 15:25:06.689568] [  5]  87.50-88.00  sec  13.3 MBytes   223 Mbits/sec  0.036 ms  12344/22279 (55%)  
[2024-05-28 15:25:06.689664] [  5]  88.00-88.50  sec  13.4 MBytes   224 Mbits/sec  0.098 ms  12901/22918 (56%)  
[2024-05-28 15:25:06.689761] [  5]  88.50-89.00  sec  13.9 MBytes   234 Mbits/sec  0.025 ms  12012/22457 (53%)  
[2024-05-28 15:25:06.689889] [  5]  89.00-89.50  sec  12.4 MBytes   208 Mbits/sec  0.486 ms  12455/21732 (57%)  
[2024-05-28 15:25:06.689992] [  5]  89.50-90.00  sec  13.2 MBytes   222 Mbits/sec  0.131 ms  12749/22638 (56%)  
